"STATION","DATE","DEWP","FRSHTT","GUST","MAX","MIN","MXSPD","PRCP","SLP","SNDP","STP","TEMP","VISIB","WDSP"
"42807099999","1944-03-31","  62.7","100000","999.9","  65.3","  64.4","  2.9"," 0.00","1009.5","999.9","999.9","  64.7","  2.4","  1.5"
"42807099999","1944-04-01","  64.7","100000","999.9","  89.2","  63.3","  6.0"," 0.00","1008.2","999.9","999.9","  76.7"," 83.5","  2.5"
"42807099999","1944-04-02","  68.0","000000","999.9","  91.2","  68.4","  9.9"," 0.00","1007.0","999.9","999.9","  79.2"," 75.1","  4.1"
"42807099999","1944-04-03","  71.0","000000","999.9","  95.4","  74.3","  8.9"," 0.00","1006.3","999.9","999.9","  82.5"," 43.7","  3.6"
"42807099999","1944-04-04","  68.6","010000","999.9","  91.2","  68.4"," 11.1","99.99","1008.1","999.9","999.9","  78.1"," 24.7","  4.8"
"42807099999","1944-04-05","  69.6","010010","999.9","  90.3","  70.3","  7.0","99.99","1008.3","999.9","999.9","  77.6","  8.0","  3.7"
"42807099999","1944-04-06","  68.8","000000","999.9","  90.3","  68.4","  7.0"," 0.00","1008.1","999.9","999.9","  78.2"," 32.5","  3.3"
"42807099999","1944-04-07","  68.5","000000","999.9","  94.3","  70.3","  9.9"," 0.00","1009.5","999.9","999.9","  81.6","  5.8","  3.6"
"42807099999","1944-04-08","  60.9","000000","999.9","  94.3","  64.4","  8.9"," 0.00","1010.0","999.9","999.9","  78.3"," 23.9","  3.5"
"42807099999","1944-04-09","  66.5","000000","999.9","  96.3","  66.4"," 13.0"," 0.00","1008.6","999.9","999.9","  82.1"," 71.5","  4.9"
"42807099999","1944-04-10","  65.5","000000","999.9","  98.2","  68.4","  9.9"," 0.00","1007.0","999.9","999.9","  82.8"," 51.7","  4.6"
"42807099999","1944-04-11","  68.6","100000","999.9"," 100.2","  70.3","  8.9"," 0.00","1005.9","999.9","999.9","  83.6","  3.5","  4.0"
"42807099999","1944-04-12","  74.3","000000","999.9"," 100.2","  76.3","  8.9"," 0.00","1006.5","999.9","999.9","  85.7"," 25.1","  6.1"
"42807099999","1944-04-13","  74.4","000000","999.9","  93.4","  74.3","  9.9"," 0.00","1007.3","999.9","999.9","  83.2"," 49.3","  6.4"
"42807099999","1944-04-14","  71.9","010010","999.9","  99.3","  67.3"," 20.0","99.99","1009.3","999.9","999.9","  81.6"," 48.3","  6.6"
"42807099999","1944-04-15","  74.5","000000","999.9","  95.4","  69.3","  6.0"," 0.00","1010.7","999.9","999.9","  83.3"," 33.5","  3.6"
"42807099999","1944-04-16","  71.8","000000","999.9"," 101.3","  75.4"," 15.0"," 0.00","1010.4","999.9","999.9","  85.3"," 52.7","  6.1"
"42807099999","1944-04-17","  73.8","000000","999.9","  95.4","  76.3","  9.9"," 0.00","1010.4","999.9","999.9","  84.4"," 67.9","  4.8"
"42807099999","1944-04-18","  73.5","000000","999.9","  96.3","  75.4","  9.9"," 0.00","1010.8","999.9","999.9","  86.3"," 83.6","  5.4"
"42807099999","1944-04-19","  69.3","010010","999.9","  91.2","  70.3","  9.9","99.99","1011.9","999.9","999.9","  79.4"," 18.7","  5.1"
"42807099999","1944-04-20","  71.5","000000","999.9","  95.4","  74.3","  8.9"," 0.00","1009.4","999.9","999.9","  84.2"," 44.4","  4.1"
"42807099999","1944-04-21","  74.4","000000","999.9","  98.2","  75.4","  6.0"," 0.00","1008.0","999.9","999.9","  85.6"," 63.9","  3.4"
"42807099999","1944-04-22","  77.2","000000","999.9","  96.3","  78.3","  9.9"," 0.00","1006.9","999.9","999.9","  86.2"," 68.2","  6.5"
"42807099999","1944-04-23","  75.1","010000","999.9","  96.3","  72.3"," 13.0","99.99","1006.2","999.9","999.9","  84.6"," 52.1","  6.8"
"42807099999","1944-04-24","  75.7","010000","999.9","  97.3","  75.4","  9.9","99.99","1007.1","999.9","999.9","  84.7"," 40.1","  5.1"
"42807099999","1944-04-25","  72.3","000000","999.9","  99.3","  75.4"," 11.1"," 0.00","1007.1","999.9","999.9","  85.2"," 83.7","  5.2"
"42807099999","1944-04-26","  75.3","010010","999.9","  94.3","  74.3"," 15.9","99.99","1006.9","999.9","999.9","  82.6"," 44.1","  5.8"
"42807099999","1944-04-27","  74.2","110000","999.9","  86.4","  74.3"," 13.0","99.99","1006.6","999.9","999.9","  78.7"," 27.9","  4.5"
"42807099999","1944-04-28","  77.2","000000","999.9","  95.4","  75.4","  8.9"," 0.00","1006.0","999.9","999.9","  84.9"," 24.8","  4.0"
"42807099999","1944-04-29","  78.4","000000","999.9","  94.3","  80.2"," 12.0"," 0.00","1005.2","999.9","999.9","  86.2"," 68.3","  7.3"
"42807099999","1944-04-30","  79.6","000000","999.9","  97.3","  82.4"," 12.0"," 0.00","1004.2","999.9","999.9","  87.7"," 91.8","  8.9"
